spectrogram,label
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100032-3-0-0.npy,3
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100263-2-0-117.npy,2
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100263-2-0-121.npy,2
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100263-2-0-126.npy,2
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100263-2-0-137.npy,2
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100263-2-0-143.npy,2
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100263-2-0-161.npy,2
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100263-2-0-3.npy,2
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100263-2-0-36.npy,2
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100648-1-0-0.npy,1
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100648-1-1-0.npy,1
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100648-1-2-0.npy,1
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100648-1-3-0.npy,1
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100648-1-4-0.npy,1
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100652-3-0-0.npy,3
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100652-3-0-1.npy,3
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100652-3-0-2.npy,3
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100652-3-0-3.npy,3
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100795-3-0-0.npy,3
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100795-3-1-0.npy,3
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100795-3-1-1.npy,3
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100795-3-1-2.npy,3
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100852-0-0-0.npy,0
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100852-0-0-1.npy,0
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100852-0-0-10.npy,0
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100852-0-0-11.npy,0
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100852-0-0-12.npy,0
D:\Documentos\IPN\6to Semestre\Aprendizaje_profundo\programas\proyecto\espectrogramas\100852-0-0-13.npy,0
